name,value,year,lastValue,rank,color
"Gnathostoma",1.0,1945.0,0.0,84,"red"
"Rhinosporidium seeberi",1.0,1945.0,0.0,85,"red"
"Hantavirus",1.0,1945.0,0.0,86,"red"
"SLEV",1.0,1945.0,0.0,87,"red"
"Molluscum Contagiosum virus",1.0,1945.0,0.0,88,"red"
"Trichostrongylus",1.0,1945.0,0.0,89,"red"
"VEEV",1.0,1945.0,0.0,90,"red"
"Trypanosoma cruzi",1.0,1945.0,0.0,91,"red"
"Vaccinia virus",1.0,1945.0,0.0,92,"red"
"Protozoan",1.0,1945.0,0.0,93,"red"
"Dirofilaria",1.0,1945.0,0.0,94,"red"
"Cystoisospora",1.0,1945.0,0.0,95,"red"
"TBEV",1.0,1945.0,0.0,96,"red"
"Plasmodium",842.0,1946.0,252.0,1,"red"
"Mycobacterium tuberculosis",778.0,1946.0,287.0,2,"red"
"Salmonella enterica",336.0,1946.0,91.0,3,"red"
"Treponema",305.0,1946.0,94.0,4,"red"
"Poliovirus",284.0,1946.0,55.0,5,"red"
"Streptococcus pyogenes",249.0,1946.0,66.0,6,"red"
"Influenza virus",248.0,1946.0,61.0,7,"red"
"Rickettsia",229.0,1946.0,72.0,8,"red"
"Neisseria gonorrhoeae",228.0,1946.0,58.0,9,"red"
"Mycobacterium leprae",212.0,1946.0,80.0,10,"red"
"HAV",186.0,1946.0,36.0,11,"red"
"Clostridium",183.0,1946.0,63.0,12,"red"
"Schistosoma",151.0,1946.0,30.0,13,"red"
"Brucella",146.0,1946.0,61.0,14,"red"
"Entamoeba histolytica",144.0,1946.0,45.0,15,"red"
"Leishmania",140.0,1946.0,71.0,16,"red"
"Chlamydia",107.0,1946.0,32.0,17,"red"
"Trypanosoma",92.0,1946.0,21.0,18,"red"
"Shigella",82.0,1946.0,20.0,19,"red"
"Filarial worms",78.0,1946.0,21.0,20,"red"
"Echinococcus",77.0,1946.0,27.0,21,"red"
"Orientia tsutsugamushi",73.0,1946.0,17.0,22,"red"
"Varicella Zoster virus",65.0,1946.0,14.0,23,"red"
"Borrelia",62.0,1946.0,31.0,24,"red"
"Variola",60.0,1946.0,11.0,25,"red"
"Vibrio cholerae",58.0,1946.0,20.0,26,"red"
"Rabies virus",56.0,1946.0,21.0,27,"red"
"Leptospira",55.0,1946.0,16.0,28,"red"
"Actinomyces",53.0,1946.0,12.0,29,"red"
"EBV",53.0,1946.0,16.0,30,"red"
"Fusobacterium",50.0,1946.0,9.0,31,"red"
"Sarcoptes scabiei",47.0,1946.0,22.0,32,"red"
"Yersinia pestis",45.0,1946.0,14.0,33,"red"
"YFV",45.0,1946.0,16.0,34,"red"
"Ancylostoma",38.0,1946.0,8.0,35,"red"
"Bacillus anthracis",37.0,1946.0,10.0,36,"red"
"Blastomyces dermatitidis",36.0,1946.0,11.0,37,"red"
"Mumps virus",35.0,1946.0,5.0,38,"red"
"Measles virus",33.0,1946.0,10.0,39,"red"
"Trichophyton",33.0,1946.0,6.0,40,"red"
"Klebsiella",32.0,1946.0,11.0,41,"red"
"Ascaris",31.0,1946.0,15.0,42,"red"
"Trichomonas vaginalis",30.0,1946.0,9.0,43,"red"
"Erysipelothrix",30.0,1946.0,15.0,44,"red"
"Haemophilus ducreyi",29.0,1946.0,7.0,45,"red"
"Rubella",29.0,1946.0,3.0,46,"red"
"Pediculus",28.0,1946.0,10.0,47,"red"
"Coccidioides",28.0,1946.0,1.0,48,"red"
"DENV",25.0,1946.0,9.0,49,"red"
"Coccidia",24.0,1946.0,6.0,50,"red"
"Babesia",23.0,1946.0,7.0,51,"red"
"Histoplasma capsulatum",23.0,1946.0,4.0,52,"red"
"Fly larva",20.0,1946.0,6.0,53,"red"
"Candida",19.0,1946.0,5.0,54,"red"
"Enterobius vermicularis",19.0,1946.0,10.0,55,"red"
"Newcastle disease virus",18.0,1946.0,3.0,56,"red"
"Toxoplasma",18.0,1946.0,4.0,57,"red"
"HIV",16.0,1946.0,1.0,58,"red"
"Onchocerca",16.0,1946.0,6.0,59,"red"
"Trichinella",16.0,1946.0,5.0,60,"red"
"Taenia solium.",16.0,1946.0,3.0,61,"red"
"Coxiella burnetii",14.0,1946.0,0.0,62,"red"
"Acari",14.0,1946.0,3.0,63,"red"
"Cryptococcus",13.0,1946.0,2.0,64,"red"
"Sporothrix",12.0,1946.0,3.0,65,"red"
"Streptobacillus moniliformis or Spirillum minus",11.0,1946.0,5.0,66,"red"
"HPV",11.0,1946.0,1.0,67,"red"
"HSV",11.0,1946.0,3.0,68,"red"
"Vaccinia virus",10.0,1946.0,1.0,69,"red"
"Phlebovirus",10.0,1946.0,4.0,70,"red"
"Japanese encephalitis virus",10.0,1946.0,2.0,71,"red"
"WEEV",8.0,1946.0,1.0,72,"red"
"Bartonella",8.0,1946.0,4.0,73,"red"
"Strongyloides",8.0,1946.0,2.0,74,"red"
"Actinomycetoma",8.0,1946.0,3.0,75,"red"
"Pinworms",7.0,1946.0,5.0,76,"red"
"Eurotiomycetes",7.0,1946.0,2.0,77,"red"
"Trypanosoma cruzi",7.0,1946.0,1.0,78,"red"
"Giardia lamblia",7.0,1946.0,3.0,79,"red"
"Tick",6.0,1946.0,2.0,80,"red"
"Molluscum Contagiosum virus",6.0,1946.0,1.0,81,"red"
"Paragonimus",5.0,1946.0,2.0,82,"red"
"Pasteurella",5.0,1946.0,1.0,83,"red"
"Aspergillus",5.0,1946.0,1.0,84,"red"
"Protozoan",5.0,1946.0,1.0,85,"red"
"HBV",5.0,1946.0,0.0,86,"red"
"Burkholderia",5.0,1946.0,3.0,87,"red"
"Coltivirus",4.0,1946.0,0.0,88,"red"
"LCMV",4.0,1946.0,0.0,89,"red"
"Rhinosporidium seeberi",4.0,1946.0,1.0,90,"red"
"SLEV",4.0,1946.0,1.0,91,"red"
"Staphylococcus aureus",3.0,1946.0,0.0,92,"red"
"VEEV",3.0,1946.0,1.0,93,"red"
"Cowpox virus",3.0,1946.0,0.0,94,"red"
"Balantidium coli",3.0,1946.0,2.0,95,"red"
"Corynebacterium",3.0,1946.0,0.0,96,"red"
"Cystoisospora",3.0,1946.0,1.0,97,"red"
"Listeria monocytogenes",3.0,1946.0,1.0,98,"red"
"Hymenolepis",2.0,1946.0,0.0,99,"red"
"Geotrichum candidum",1.0,1946.0,0.0,100,"red"
"Nocardial",1.0,1946.0,0.0,101,"red"
"Toxocara",1.0,1946.0,0.0,102,"red"
"Guinea worm",1.0,1946.0,0.0,103,"red"
"Necator",1.0,1946.0,0.0,104,"red"
"Theileria",1.0,1946.0,0.0,105,"red"
"Setaria",1.0,1946.0,0.0,106,"red"
"HHV",1.0,1946.0,0.0,107,"red"
"LIV",1.0,1946.0,0.0,108,"red"
"Poxvirus",1.0,1946.0,0.0,109,"red"
"Trichuris trichiura",1.0,1946.0,0.0,110,"red"
"Clonorchis",1.0,1946.0,0.0,111,"red"
"Orf virus",1.0,1946.0,0.0,112,"red"
"Eastern equine encephalitis virus",1.0,1946.0,0.0,113,"red"
"Mycobacterium tuberculosis",1407.0,1947.0,778.0,1,"red"
"Plasmodium",1273.0,1947.0,842.0,2,"red"
"Poliovirus",700.0,1947.0,284.0,3,"red"
"Salmonella enterica",616.0,1947.0,336.0,4,"red"
"Treponema",481.0,1947.0,305.0,5,"red"
"Streptococcus pyogenes",429.0,1947.0,249.0,6,"red"
"Influenza virus",417.0,1947.0,248.0,7,"red"
"Neisseria gonorrhoeae",373.0,1947.0,228.0,8,"red"
"Rickettsia",361.0,1947.0,229.0,9,"red"
"Mycobacterium leprae",345.0,1947.0,212.0,10,"red"
"HAV",328.0,1947.0,186.0,11,"red"
"Clostridium",327.0,1947.0,183.0,12,"red"
"Brucella",269.0,1947.0,146.0,13,"red"
"Schistosoma",250.0,1947.0,151.0,14,"red"
"Entamoeba histolytica",246.0,1947.0,144.0,15,"red"
"Leishmania",246.0,1947.0,140.0,16,"red"
"Chlamydia",194.0,1947.0,107.0,17,"red"
"Trypanosoma",154.0,1947.0,92.0,18,"red"
"Echinococcus",138.0,1947.0,77.0,19,"red"
"Shigella",124.0,1947.0,82.0,20,"red"
"Variola",119.0,1947.0,60.0,21,"red"
"Vibrio cholerae",114.0,1947.0,58.0,22,"red"
"Filarial worms",113.0,1947.0,78.0,23,"red"
"Actinomyces",107.0,1947.0,53.0,24,"red"
"Rabies virus",103.0,1947.0,56.0,25,"red"
"Leptospira",101.0,1947.0,55.0,26,"red"
"Varicella Zoster virus",99.0,1947.0,65.0,27,"red"
"Orientia tsutsugamushi",94.0,1947.0,73.0,28,"red"
"Borrelia",86.0,1947.0,62.0,29,"red"
"EBV",85.0,1947.0,53.0,30,"red"
"Fusobacterium",83.0,1947.0,50.0,31,"red"
"Bacillus anthracis",80.0,1947.0,37.0,32,"red"
"Yersinia pestis",78.0,1947.0,45.0,33,"red"
"Measles virus",75.0,1947.0,33.0,34,"red"
"Sarcoptes scabiei",75.0,1947.0,47.0,35,"red"
"Klebsiella",66.0,1947.0,32.0,36,"red"
"Trichomonas vaginalis",62.0,1947.0,30.0,37,"red"
"YFV",62.0,1947.0,45.0,38,"red"
"Ascaris",61.0,1947.0,31.0,39,"red"
"Trichophyton",58.0,1947.0,33.0,40,"red"
"Rubella",56.0,1947.0,29.0,41,"red"
"Blastomyces dermatitidis",56.0,1947.0,36.0,42,"red"
"Mumps virus",55.0,1947.0,35.0,43,"red"
"Coccidia",50.0,1947.0,24.0,44,"red"
"Coccidioides",49.0,1947.0,28.0,45,"red"
"Histoplasma capsulatum",46.0,1947.0,23.0,46,"red"
"Ancylostoma",45.0,1947.0,38.0,47,"red"
"Erysipelothrix",44.0,1947.0,30.0,48,"red"
"Newcastle disease virus",42.0,1947.0,18.0,49,"red"
"Fly larva",41.0,1947.0,20.0,50,"red"
"Trichinella",41.0,1947.0,16.0,51,"red"
"Babesia",41.0,1947.0,23.0,52,"red"
"Pediculus",40.0,1947.0,28.0,53,"red"
"Haemophilus ducreyi",37.0,1947.0,29.0,54,"red"
"Acari",36.0,1947.0,14.0,55,"red"
"Enterobius vermicularis",34.0,1947.0,19.0,56,"red"
"HSV",34.0,1947.0,11.0,57,"red"
"Coxiella burnetii",32.0,1947.0,14.0,58,"red"
"Candida",32.0,1947.0,19.0,59,"red"
"DENV",31.0,1947.0,25.0,60,"red"
"Toxoplasma",31.0,1947.0,18.0,61,"red"
"HIV",28.0,1947.0,16.0,62,"red"
"Onchocerca",26.0,1947.0,16.0,63,"red"
"Cryptococcus",26.0,1947.0,13.0,64,"red"
"Sporothrix",23.0,1947.0,12.0,65,"red"
"Japanese encephalitis virus",21.0,1947.0,10.0,66,"red"
"HPV",20.0,1947.0,11.0,67,"red"
"Taenia solium.",20.0,1947.0,16.0,68,"red"
"Streptobacillus moniliformis or Spirillum minus",18.0,1947.0,11.0,69,"red"
"Giardia lamblia",18.0,1947.0,7.0,70,"red"
"HBV",17.0,1947.0,5.0,71,"red"
"Pasteurella",16.0,1947.0,5.0,72,"red"
"Trypanosoma cruzi",14.0,1947.0,7.0,73,"red"
"Phlebovirus",14.0,1947.0,10.0,74,"red"
"Actinomycetoma",14.0,1947.0,8.0,75,"red"
"WEEV",12.0,1947.0,8.0,76,"red"
"Vaccinia virus",12.0,1947.0,10.0,77,"red"
"Pinworms",11.0,1947.0,7.0,78,"red"
"Burkholderia",11.0,1947.0,5.0,79,"red"
"Coltivirus",11.0,1947.0,4.0,80,"red"
"Bartonella",11.0,1947.0,8.0,81,"red"
"Protozoan",10.0,1947.0,5.0,82,"red"
"Eurotiomycetes",10.0,1947.0,7.0,83,"red"
"Staphylococcus aureus",10.0,1947.0,3.0,84,"red"
"Balantidium coli",9.0,1947.0,3.0,85,"red"
"Corynebacterium",9.0,1947.0,3.0,86,"red"
"SLEV",9.0,1947.0,4.0,87,"red"
"Listeria monocytogenes",9.0,1947.0,3.0,88,"red"
"Strongyloides",9.0,1947.0,8.0,89,"red"
"Molluscum Contagiosum virus",8.0,1947.0,6.0,90,"red"
"Aspergillus",8.0,1947.0,5.0,91,"red"
"HEV",8.0,1947.0,1.0,92,"red"
"Tick",8.0,1947.0,6.0,93,"red"
"Paragonimus",7.0,1947.0,5.0,94,"red"
"LCMV",7.0,1947.0,4.0,95,"red"
"Theileria",6.0,1947.0,1.0,96,"red"
"Rhinosporidium seeberi",6.0,1947.0,4.0,97,"red"
"VEEV",4.0,1947.0,3.0,98,"red"
"Cowpox virus",4.0,1947.0,3.0,99,"red"
"Gnathostoma",3.0,1947.0,1.0,100,"red"
"Hymenolepis",3.0,1947.0,2.0,101,"red"
"Trichostrongylus",3.0,1947.0,1.0,102,"red"
"Paracoccidioides brasiliensis",3.0,1947.0,0.0,103,"red"
"LIV",3.0,1947.0,1.0,104,"red"
"Orf virus",3.0,1947.0,1.0,105,"red"
"Fasciola",3.0,1947.0,0.0,106,"red"
"Anaplasmataceae",2.0,1947.0,0.0,107,"red"
"HHV",2.0,1947.0,1.0,108,"red"
"Dirofilaria",2.0,1947.0,1.0,109,"red"
"Trichuris trichiura",2.0,1947.0,1.0,110,"red"
"Eastern equine encephalitis virus",2.0,1947.0,1.0,111,"red"
"Poxvirus",2.0,1947.0,1.0,112,"red"
"Bornavirus",1.0,1947.0,0.0,113,"red"
"Enoplida",1.0,1947.0,0.0,114,"red"
"Actinobacillus",1.0,1947.0,0.0,115,"red"
"HCV",1.0,1947.0,0.0,116,"red"
"Loa loa",1.0,1947.0,0.0,117,"red"
"Diphyllobothrium",1.0,1947.0,0.0,118,"red"
"Cochliomyia",1.0,1947.0,0.0,119,"red"
"Ascaridia",1.0,1947.0,0.0,120,"red"
"Mycobacterium tuberculosis",2085.0,1948.0,1407.0,1,"red"
"Plasmodium",1671.0,1948.0,1273.0,2,"red"
"Poliovirus",1104.0,1948.0,700.0,3,"red"
"Salmonella enterica",888.0,1948.0,616.0,4,"red"
"Treponema",653.0,1948.0,481.0,5,"red"
"Mycobacterium leprae",622.0,1948.0,345.0,6,"red"
"Influenza virus",616.0,1948.0,417.0,7,"red"
"Streptococcus pyogenes",587.0,1948.0,429.0,8,"red"
"Neisseria gonorrhoeae",493.0,1948.0,373.0,9,"red"
"Rickettsia",484.0,1948.0,361.0,10,"red"
"HAV",463.0,1948.0,328.0,11,"red"
"Clostridium",453.0,1948.0,327.0,12,"red"
"Brucella",399.0,1948.0,269.0,13,"red"
"Schistosoma",339.0,1948.0,250.0,14,"red"
"Entamoeba histolytica",338.0,1948.0,246.0,15,"red"
"Leishmania",330.0,1948.0,246.0,16,"red"
"Chlamydia",270.0,1948.0,194.0,17,"red"
"Echinococcus",212.0,1948.0,138.0,18,"red"
"Trypanosoma",193.0,1948.0,154.0,19,"red"
"Vibrio cholerae",189.0,1948.0,114.0,20,"red"
"Variola",167.0,1948.0,119.0,21,"red"
"Actinomyces",164.0,1948.0,107.0,22,"red"
"Varicella Zoster virus",163.0,1948.0,99.0,23,"red"
"Leptospira",160.0,1948.0,101.0,24,"red"
"Shigella",159.0,1948.0,124.0,25,"red"
"Filarial worms",158.0,1948.0,113.0,26,"red"
"EBV",147.0,1948.0,85.0,27,"red"
"Rabies virus",146.0,1948.0,103.0,28,"red"
"Measles virus",134.0,1948.0,75.0,29,"red"
"Sarcoptes scabiei",115.0,1948.0,75.0,30,"red"
"Yersinia pestis",115.0,1948.0,78.0,31,"red"
"Ascaris",111.0,1948.0,61.0,32,"red"
"Klebsiella",111.0,1948.0,66.0,33,"red"
"Orientia tsutsugamushi",108.0,1948.0,94.0,34,"red"
"Borrelia",107.0,1948.0,86.0,35,"red"
"Bacillus anthracis",100.0,1948.0,80.0,36,"red"
"Histoplasma capsulatum",93.0,1948.0,46.0,37,"red"
"Trichomonas vaginalis",93.0,1948.0,62.0,38,"red"
"Fusobacterium",87.0,1948.0,83.0,39,"red"
"Mumps virus",84.0,1948.0,55.0,40,"red"
"Rubella",82.0,1948.0,56.0,41,"red"
"YFV",81.0,1948.0,62.0,42,"red"
"Trichophyton",79.0,1948.0,58.0,43,"red"
"Blastomyces dermatitidis",78.0,1948.0,56.0,44,"red"
"Coccidioides",75.0,1948.0,49.0,45,"red"
"Toxoplasma",73.0,1948.0,31.0,46,"red"
"Coxiella burnetii",73.0,1948.0,32.0,47,"red"
"Newcastle disease virus",64.0,1948.0,42.0,48,"red"
"Coccidia",60.0,1948.0,50.0,49,"red"
"Trichinella",59.0,1948.0,41.0,50,"red"
"Ancylostoma",52.0,1948.0,45.0,51,"red"
"Pediculus",50.0,1948.0,40.0,52,"red"
"Fly larva",49.0,1948.0,41.0,53,"red"
"Candida",49.0,1948.0,32.0,54,"red"
"Erysipelothrix",49.0,1948.0,44.0,55,"red"
"DENV",47.0,1948.0,31.0,56,"red"
"HSV",46.0,1948.0,34.0,57,"red"
"Haemophilus ducreyi",45.0,1948.0,37.0,58,"red"
"Acari",44.0,1948.0,36.0,59,"red"
"Enterobius vermicularis",43.0,1948.0,34.0,60,"red"
"Babesia",42.0,1948.0,41.0,61,"red"
"HIV",41.0,1948.0,28.0,62,"red"
"Cryptococcus",39.0,1948.0,26.0,63,"red"
"Onchocerca",38.0,1948.0,26.0,64,"red"
"HPV",36.0,1948.0,20.0,65,"red"
"Vaccinia virus",31.0,1948.0,12.0,66,"red"
"Taenia solium.",29.0,1948.0,20.0,67,"red"
"Giardia lamblia",29.0,1948.0,18.0,68,"red"
"Japanese encephalitis virus",28.0,1948.0,21.0,69,"red"
"HBV",27.0,1948.0,17.0,70,"red"
"Sporothrix",25.0,1948.0,23.0,71,"red"
"Streptobacillus moniliformis or Spirillum minus",24.0,1948.0,18.0,72,"red"
"Actinomycetoma",21.0,1948.0,14.0,73,"red"
"Trypanosoma cruzi",21.0,1948.0,14.0,74,"red"
"Pasteurella",21.0,1948.0,16.0,75,"red"
"Pinworms",19.0,1948.0,11.0,76,"red"
"Phlebovirus",19.0,1948.0,14.0,77,"red"
"Bartonella",19.0,1948.0,11.0,78,"red"
"Burkholderia",17.0,1948.0,11.0,79,"red"
"WEEV",17.0,1948.0,12.0,80,"red"
"LCMV",17.0,1948.0,7.0,81,"red"
"Staphylococcus aureus",16.0,1948.0,10.0,82,"red"
"Protozoan",14.0,1948.0,10.0,83,"red"
"Balantidium coli",13.0,1948.0,9.0,84,"red"
"Eurotiomycetes",13.0,1948.0,10.0,85,"red"
"Aspergillus",12.0,1948.0,8.0,86,"red"
"Molluscum Contagiosum virus",12.0,1948.0,8.0,87,"red"
"Coltivirus",12.0,1948.0,11.0,88,"red"
"SLEV",12.0,1948.0,9.0,89,"red"
"Strongyloides",12.0,1948.0,9.0,90,"red"
"Fasciola",11.0,1948.0,3.0,91,"red"
"Listeria monocytogenes",10.0,1948.0,9.0,92,"red"
"Rhinosporidium seeberi",10.0,1948.0,6.0,93,"red"
"Paracoccidioides brasiliensis",9.0,1948.0,3.0,94,"red"
"Tick",9.0,1948.0,8.0,95,"red"
"Paragonimus",8.0,1948.0,7.0,96,"red"
"Theileria",7.0,1948.0,6.0,97,"red"
"Cowpox virus",6.0,1948.0,4.0,98,"red"
"Orf virus",5.0,1948.0,3.0,99,"red"
"LIV",4.0,1948.0,3.0,100,"red"
"Cystoisospora",4.0,1948.0,3.0,101,"red"
"Poxvirus",3.0,1948.0,2.0,102,"red"
"Eastern equine encephalitis virus",3.0,1948.0,2.0,103,"red"
"Trichuris trichiura",3.0,1948.0,2.0,104,"red"
"Nocardial",3.0,1948.0,1.0,105,"red"
"Dirofilaria",3.0,1948.0,2.0,106,"red"
"Trombiculidae",2.0,1948.0,0.0,107,"red"
"Guinea worm",2.0,1948.0,1.0,108,"red"
"Loa loa",2.0,1948.0,1.0,109,"red"
"TBEV",2.0,1948.0,1.0,110,"red"
"Diphyllobothrium",2.0,1948.0,1.0,111,"red"
"Actinobacillus",2.0,1948.0,1.0,112,"red"
"Tunga penetrans",1.0,1948.0,0.0,113,"red"
"Dicrocoelium",1.0,1948.0,0.0,114,"red"
"Mansonella",1.0,1948.0,0.0,115,"red"
"Mycobacterium tuberculosis",2814.0,1949.0,2085.0,1,"red"
"Plasmodium",1993.0,1949.0,1671.0,2,"red"
"Poliovirus",1430.0,1949.0,1104.0,3,"red"
"Salmonella enterica",1166.0,1949.0,888.0,4,"red"
"Influenza virus",825.0,1949.0,616.0,5,"red"
"Treponema",791.0,1949.0,653.0,6,"red"
"Streptococcus pyogenes",748.0,1949.0,587.0,7,"red"
"Mycobacterium leprae",725.0,1949.0,622.0,8,"red"
"Neisseria gonorrhoeae",591.0,1949.0,493.0,9,"red"
"HAV",574.0,1949.0,463.0,10,"red"
"Rickettsia",565.0,1949.0,484.0,11,"red"
"Clostridium",551.0,1949.0,453.0,12,"red"
"Brucella",517.0,1949.0,399.0,13,"red"
"Entamoeba histolytica",458.0,1949.0,338.0,14,"red"
"Leishmania",426.0,1949.0,330.0,15,"red"
"Schistosoma",411.0,1949.0,339.0,16,"red"
"Chlamydia",353.0,1949.0,270.0,17,"red"
"Echinococcus",283.0,1949.0,212.0,18,"red"
"Trypanosoma",240.0,1949.0,193.0,19,"red"
"Varicella Zoster virus",231.0,1949.0,163.0,20,"red"
